0,1,2,3,4,5
Gigi Dolin,5'5,NA,NA,"Atlanta, Georgia",NXT Women's Tag Team Champions
Gillberg,6’0”,227,spear,Atlanta,Longest-reigning WWE Light Heavyweight Champion
Giovanni Vinci,"6'0""",220,NA,"South Tyrol, Italy",NA
Gobbledy Gooker,5’10”,205,NA,"Hartford, Conn.",24/7 Champion; Hatched from a giant egg at Survivor Series in 1990
Goldberg,6’4”,285,Jackhammer; Spear,"Atlanta, Ga. ",Universal Champion; World Heavyweight Champion; WCW Champion; WCW United States Champion; WCW World Tag Team Champion; 173-0 undefeated streak in WCW; 2018 WWE Hall of Fame Inductee
Goldust,6’6”,232,Curtain Call,"Hollywood, Calif.",Intercontinental Champion; World Tag Team Champion; WWE Tag Team Champion; Hardcore Champion
Gordon Solie,NA,NA,NA,"Tampa, Fla.",2008 WWE Hall of Fame Inductee
Gorgeous George,5’9”,215,NA,"Butte, Neb.",AWA Heavyweight Champion; NWA Heavyweight Champion; 2010 WWE Hall of Fame Inductee
Gorilla Monsoon,6’7”,401,Airplane Spin; Manchurian Splash,Manchuria,United States Tag Team Champion; WWE President; 1994 WWE Hall of Fame Inductee
Gran Metalik,5’9”,175,Metalik Driver,"Guadalajara, Jalisco, Mexico",2016 Cruiserweight Classic Finalist
Grayson Waller,NA,NA,NA,NA,NA
Greg Miller,NA,NA,NA,NA,NA
Greg Valentine,6’0”,243,Figure-Four Leglock,Seattle,Intercontinental Champion; World Tag Team Champion; NWA United States Heavyweight Champion; NWA World Tag Team Champion; 2004 WWE Hall of Fame Inductee
Gunther ,6’4”,297,NA,"Vienna, Austria",Intercontinental Champion; WWE United Kingdom Champion
Guru Raaj,"5'9""",204,NA,"Bandia, India",NA
Hachiman,"6'3""",243,NA,NA,NA
Hacksaw Jim Duggan,6’3”,270,Three Point Stance Clothesline,"Glens Falls, N.Y. ",United States Champion; WCW Television Champion; Royal Rumble Match winner; 2011 WWE Hall of Fame Inductee
Haku,6’1”,275,Tongan Death Grip,The Isle of Tonga,World Tag Team Champion; WCW Hardcore Champion
Hakushi,5’11”,238,NA,Japan,NA
Happy Corbin,6’8”,285 ,End of Days,Kansas City,United States Champion; 2019 King of the Ring; 2017 Men's Money in the Bank Ladder Match winner; 2016 Andre the Giant Memorial Battle Royal winner
Hardcore Holly,6’0”,235,The Alabama Slam,"Mobile, Ala.",Hardcore Champion; World Tag Team Champion; NWA Tag Team Champion
Harland,NA,310,NA,"Orlando, Fla.",NA
Harlem Heat,NA,NA,NA,"110th Street in Harlem, N.Y.",10-time WCW Tag Team Champions; 2019 WWE Hall of Fame Inductees
Harley Race,6’1”,253,Fisherman Suplex; Diving Headbutt; Piledriver,Kansas City,NWA World Heavyweight Champion; 1986 King of the Ring; 2004 WWE Hall of Fame Inductee
Haystacks Calhoun,6’4”,601,Splash,"Morgan’s Corner, Ark.",World Tag Team Champion; 2017 WWE Hall of Fame Legacy Inductee
Heath Slater,6’2”,216,NA,"Pineville, West Virginia",WWE Tag Team Champion; SmackDown Tag Team Champion; 24/7 Champion
Hideo Itami,5’9”,182,Go-To-Sleep,Tokyo,NA
High Chief Peter Maivia,5’9”,275,Stump Puller,The Isle of Samoa,NWA World Tag Team Champion; 2008 WWE Hall of Fame Inductee
Hillbilly Jim,6’7”,320,Bear Hug,"Mudlick, Ky.",2018 WWE Hall of Fame Inductee
Hiro Matsuda,NA,NA,NA,NA,NA
Hisashi Shinma,NA,NA,NA,NA,WWE President; 2019 WWE Hall of Fame Legacy Inductee
HoHo Lun,5’7”,155,German Suplex,"Hong Kong, China",NA
Hornswoggle,"4'5""",142,Tadpole Splash,NA,Anonymous Raw General Manager; Cruiserweight Champion
Howard Finkel,NA,NA,NA,NA,2009 WWE Hall of Fame Inductee
Hulk Hogan,6’7”,302,Leg Drop,"Venice Beach, Calif.",WWE Champion; WCW Champion; World Tag Team Champion; two-time Royal Rumble Match winner; 2005 WWE Hall of Fame Inductee
Humberto,6’1”,198,NA,"Monterrey, Mexico",NA
Ikemen Jiro,"5'11""",176,NA,NA,NA
Ilja Dragunov ,5’10”,210,NA,NA,NXT UK Champion
Indi Hartwell,NA,NA,NA,"Melbourne, Australia",NXT Women's Tag Team Champion
Irwin R. Schyster,6’3”,248,The Write-Off,"Washington, D.C.",World Tag Team Champion
"Isaiah ""Swerve"" Scott",6’1”,201,NA,"Tacoma, Wash.",NXT North American Champion
Isla Dawn,5’7”,NA,NA,"Glasgow, Scotland",NA
Ivan Koloff,6’1”,298,Bear Hug; Russian Sickle,Moscow,WWE Champion; NWA Television Champion; WCW Tag Team Champion
Ivan Putski,5’10”,245,Polish Hammer,"Krakow, Poland",World Tag Team Champion; 1995 WWE Hall of Fame Inductee
Ivar,6’2”,305,The Viking Experience,NA,Raw Tag Team Champion; NXT Tag Team Champion
Ivory,5’5”,NA,NA,Seattle,Women's Champion; 2018 WWE Hall of Fame Inductee
Ivy Nile,NA,NA,NA,NA,NA
IYO SKY,5’1”,NA,Moonsault,"Tokyo, Japan","WWE Women's Tag Team Champion, NXT Women's Champion; NXT Women's Tag Team Champion"
Jack Brisco,6’0”,NA,Figure-Four Leglock,"Blackwell, Okla.",NWA World Heavyweight Champion; NWA World Tag Team Champion; 1965 NCAA National Champion; NWA Mid-Atlantic Heavyweight Champion; 2008 WWE Hall of Fame Inductee
Jack Starz ,"5'6""",172,NA,NA,NA
Jack Swagger,6’7”,275,Patriot Lock; Get-wrench Powerbomb,"Perry, Okla. ",World Heavyweight Champion; ECW Champion; United States Champion; Money in the Bank Ladder Match winner
Jacqueline,5’3”,NA,Tornado DDT,Dallas,Women's Champion; Cruiserweight Champion; 2016 WWE Hall of Fame Inductee
Jacy Jayne,NA,NA,NA,"Tampla, Fla.",NXT Women's Tag Team Champion
Jagger Reid,5’11”,181,NA,"Blackpool, England",NXT UK Tag Team Champion
Jake Atlas,NA,200,Cartwheel DDT,Los Angeles,NA
"Jake ""The Snake"" Roberts",6’6”,249,DDT,"Stone Mountain, Ga. ",2014 WWE Hall of Fame Inductee
James Dudley,NA,NA,NA,"Washington, D.C.",1994 WWE Hall of Fame Inductee
James Ellsworth,5’9”,NA,NA,NA,NA
Jamie Noble,5’9”,202,Modified Dragon Sleeper,"Hanover, W. Va.",Cruiserweight Champion
Jason Jordan,6’3”,245,NA,"Chicago, Ill.",Raw Tag Team Champion; SmackDown Tag Team Champion; NXT Tag Team Champion
Jaxson Ryker,6’1”,245,NA,"Hickory, N.C.",NA
Jazz,5’4”,NA,Jazz Stinger; STF,New Orleans,Women's Champion
JBL,6’6”,290,Clothesline From Hell,New York City,WWE Champion; Intercontinental Champion; World Tag Team Champion; United States Champion; Hardcore Champion; European Champion; 2020 WWE Hall of Fame Inductee
JD McDonagh,5’10”,180,Ireland's Call,"Bray, County Wicklow, Ireland",NXT Cruiserweight Champion
Jeff Hardy,6’1”,225,Swanton Bomb; Whisper in the Wind; Twist of Fate,"Cameron, N.C.",WWE Champion; World Heavyweight Champion; United States Champion; Intercontinental Champion; European Champion; Hardcore Champion; Light Heavyweight Champion; World Tag Team Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WCW Tag Team Champion; 
Jeff Jarrett,6’0”,230,Figure-Four Leglock; Stroke,"Nashville, Tenn.",WCW Champion; Intercontinental Champion; United States Champion; European Champion; World Tag Team Champion; 2018 WWE Hall of Fame Inductee
Jerry Lawler,"6'0""",243,Piledriver; Flying Fistdrop,"Memphis, Tenn.",AWA World Champion; WCCW Champion; 2007 WWE Hall of Fame Inductee
Jessamyn Duke,5’11”,NA,NA,"Letcher County, Ky.",NA
Jesse Ventura,6’2”,245,Body Breaker,"Brooklyn Park, Minn. ",AWA World Tag Team Champion; 2004 WWE Hall of Fame Inductee
Jessi Kamea,"5'10""",NA,NA,"Austin, Texas",NA
Jey Uso,6’2”,242,Double Uce,San Francisco,SmackDown Tag Team Champion; WWE Tag Team Champion; 2021 Andre the Giant Memorial Battle Royal Winner
Jillian,NA,NA,NA,"Louisville, Ky.",Divas Champion
Jim Barnett,NA,NA,NA,NA,"One of the owners of the National Wrestling Alliance, Australia’s World Championship Wrestling and Georgia Championship Wrestling; 2019 WWE Hall of Fame Legacy Inductee"
Jim Cornette,NA,NA,NA,"Louisville, Ky.",NA
Jim Ross,NA,NA,NA,"Westville, Okla.",2007 WWE Hall of Fame inductee 
"Jim ""The Anvil"" Neidhart",6’2”,281,"Anvil Flattener; Anvilizer, Hart Attack; Rocket Launcher","Reno, Nevada",World Tag Team Champion; 2019 WWE Hall of Fame Inductee
Jimmy Hart,5’10”,NA,NA,"Memphis, Tenn.",2005 WWE Hall of Fame Inductee
Jimmy Smith,NA,NA,NA,"Fresno, California",NA
Jimmy Uso,6’3”,251,Double Uce,San Francisco,SmackDown Tag Team Champion; WWE Tag Team Champion
Jimmy Wang Yang,5’9”,206,Moonsault,"Austell, Ga.",NA
Jinder Mahal,6’5”,238,Khallas,"Punjab, India","WWE Champion; United States Champion, 24/7 Champion"
Jinny,5’6”,NA,NA,"Knightsbridge, London, England",NA
Joaquin Wilde,"5'8""",180,NA,"Chicago, Ill.",NA
Joe Coffey,5’11”,242,Discus lariat,"Glasgow, Scotland ",NXT UK Tag Team Champion
Joe Gacy,NA,NA,NA,NA,NA
Joey Mercury,5’9”,191,NA,Los Angeles,WWE Tag Team Champion
Joey Styles,NA,NA,NA,"Stamford, Conn.","At ECW Barely Legal in 1997, Styles became the only announcer to call a live pay-per-view event by himself. "
John Cena,6’1”,251,Attitude Adjustment; STF,"West Newbury, Mass.",WWE Champion; World Heavyweight Champion; United States Champion; World Tag Team Champion; WWE Tag Team Champion; 2012 Money in the Bank Ladder Match winner; two-time Royal Rumble Match winner
John Laurinaitis,NA,NA,NA,Philadelphia,WWE's Executive Vice President of Talent Relations; General Manager of Raw; General Manager of SmackDown
John Morrison,6’0”,215,Starship Pain; The Moonlight Drive,Los Angeles,Intercontinental Champion; ECW Champion; WWE Tag Team Champion; SmackDown Tag Team Champion
Johnny Gargano,5’10”,199,Gargano Escape,Cleveland,NXT Champion; NXT North American Champion; NXT Tag Team Champion
Johnny Rodz,5’8”,239,Falling Headbutt,New York City,1996 WWE Hall of Fame Inductee
Johnny Saint,5’8”,NA,NA,"Blackpool, England",NXT UK General Manager; British Lightweight Champion; European Lightweight Champion; World Lightweight Champion
JoJo,NA,NA,NA,NA,NA
Jonathan Coachman,NA,NA,NA,"Wichita, Kan.","Commentator on the Raw announce team, SmackDown color commentator, former Executive Assistant for both Mr. McMahon and Raw GM William Regal, former Acting Raw GM, participated in two Royal Rumble Matches (2005 and 2006)"
Joseph “Toots” Mondt,6’0”,260 ,NA,"Wayne County, Iowa",NA
Joseph Cohen,NA,NA,NA,NA,2019 WWE Hall of Fame Legacy Inductee
Joseph Conners,6’1”,190,Don't Look Down,"Nottingham, England",NA
Josh Briggs,NA,NA,NA,NA,NXT UK Tag Team Champion
Josh Mathews,5’9”,NA,NA,"Sea Isle City, N.J.","Play-by-play announcer for SmackDown, WWE Main Event, WWE NXT, ECW; Raw backstage interviewer; Tough Enough finalist"
Josiah Williams,NA,NA,NA,NA,NA
JTG,6’2”,232,Shout Out,"Brooklyn, N.Y.",NA
Judy Grable,5’6”,NA,NA,"Bremerton, Wash.",NA
Julius Creed,NA,NA,NA,NA,NA
June Byers,5’7”,NA,Byers Bridge,Houston,NWA World Women's Champion
Junkyard Dog,6’3”,280,"""Thump"" Powerslam","Charlotte, N.C.",WCW Six-Man Tag Team Champion; Mid-South North American Champion; Mid-South Tag Team Champion; 2004 WWE Hall of Fame Inductee
"Jushin ""Thunder""  Liger",5’7”,210,Shooting Star Press; Liger Bomb,"Tokyo, Japan",WCW Light Heavyweight Champion; 2020 WWE Hall of Fame Inductee
Justin Gabriel,6’1”,213,450 Splash,"Cape Town, South Africa",WWE Tag Team Champion
Justin Roberts,5’10”,170,NA,"Scottsdale, Ariz.",NA
Kairi Sane,5’1”,NA,InSane Elbow; Anchor,"Yamaguchi, Japan",WWE Women's Tag Team Champion; NXT Women's Champion; 2017 Mae Young Classic winner
Kaitlyn,5’6”,NA,Lotus Lock; spear,Houston,WWE NXT season three winner; WWE Divas Champion
Kalisto,5’6”,170,Salida del Sol,Mexico City,United States Champion; WWE Cruiserweight Champion; NXT Tag Team Champion; 2015 ‘OMG!’ Shocking Moment of the Year Slammy Award winner
Kamala,6’7”,380,Flying splash,Uganda,NA
Kane,7’0”,323,Chokeslam; Tombstone,NA,WWE Director of Operations; WWE Tag Team Champion; WWE Champion; World Heavyweight Champion; ECW Champion; Intercontinental Champion; World Tag Team Champion; WCW Tag Team Champion; Hardcore Champion; 2021 WWE Hall of Fame Inductee
Karl Anderson,6’1”,215,Magic Killer,"By way of Tokyo, Japan",Raw Tag Team Champion; WWE Tag Team World Cup Winner
Karrion Kross,"6'4""",265,Kross Jacket; Doomsday Saito,Sin City,NXT Champion
Kassius Ohno,6’4”,270,Rolling Elbow,"Dayton, Ohio",NA
Katana Chance,5’0”,NA,NA,"Belleville, N.J.",NA
Kayden Carter,NA,NA,NA,The Phillippine Islands,NA
Kayla Braxton,NA,NA,NA,"Wadley, Alabama",NA
"Keith ""Bearcat"" Lee",6’2”,340,Spirit Bomb; Big Bang Catastrophe,"Wichita Falls, Texas",NXT Champion; NXT North American Champion
Kelly Kelly,5’5”,NA,K-2 Legdrop,"Jacksonville, Fla.",Divas Champion; 24/7 Champion
Ken Shamrock,6’1”,243,Ankle Lock; belly-to-belly suplex,"Sacramento, Calif.",Intercontinental Champion; World Tag Team Champion; 1998 King of the Ring
Kenny ,6’4”,230,Top Rope Leg Drop ,"Southbridge, Mass.",World Tag Team Champion
Kenny Williams,5’9”,180,Satellite DDT,"Glasgow, Scotland ",NA
Kevin Nash,"6'10""",328,Jackknife Powerbomb,Detroit,WWE Champion; World Tag Team Champion; Intercontinental Champion; WCW World Heavyweight Champion; WCW Tag Team Champion; WCW World War 3 winner; 2015 WWE Hall of Fame Inductee
Kevin Owens,6’0”,266,Pop-up Powerbomb; Stunner,"Marieville, Quebec, Canada",Universal Champion; United States Champion; Intercontinental Champion; NXT Champion
Kevin Patrick,NA,NA,NA,"Dublin, Ireland",NA
Kevin Sullivan,5’9”,250,Devil Stomp,The Iron Gates of Fate,WCW Tag Team Champion; ECW Tag Team Champion
Kharma,5’11”,272,NA,NA,NA
Kiana James,NA,NA,NA,NA,NA
Kid Rock,NA,NA,NA,Detroit,2018 WWE Hall of Fame Inductee
Killer Kowalski,6’7”,280,Iron Claw,"Windsor, Ontario, Canada",World Tag Team Champion; United States Tag Team Champion; 1996 WWE Hall of Fame Inductee
Killian Dain,6’4”,322,Ulster Plantation; Divide,"Belfast, Northern Ireland",NA
King Kong Bundy,6’4”,458,Avalanche Splash,"Atlantic City, N.J. ",NA
Kit Wilson,NA,NA,Spilt Milk (w/Elton Prince),NA,NXT Tag Team Champion; NXT UK Tag Team Champion
Kofi Kingston,"6'0""",212,Trouble in Paradise,"Ghana, West Africa",WWE Champion; Intercontinental Champion; World Tag Team Champion; United States Champion; WWE Tag Team Champion; Raw Tag Team Champion; SmackDown Tag Team Champion
Koko B. Ware,5’7”,228,Ghostbuster,"Union City, Tenn.",2009 WWE Hall of Fame Inductee
Kona Reeves,6’4”,250,Hawaiian Drop,"Honolulu, HI",NA
Konnor,6′4″,268,Fall of Man,The Wasteland,NXT Tag Team Champion
Kurt Angle,6’0”,220,Angle Slam; Ankle Lock,Pittsburgh,World Heavyweight Champion; WWE Champion; WWE Tag Team Champion; Intercontinental Champion; European Champion; Hardcore Champion; 2000 King of the Ring; SmackDown! General Manager; 2017 WWE Hall of Fame Inductee
Kushida,5’9”,192,Sakuraba Lock; Hoverboard Lock,"Tokyo, Japan",NXT Cruiserweight Champion
Kyle O'Reilly,NA,200,Heel Hook,"Vancouver, British Columbia",NXT Tag Team Champion; 2018 and 2019 NXT Tag Team of the Year; 2018 Dusty Rhodes Tag Team Classic Winner
La Parka,6’1”,220,La Parkinator,"Monclova, Coahuila, Mexico",NA
Lacey Evans,5’8”,NA,Woman's Right,"Parris Island, S.C.",NA
Lana,5’7”,NA,NA,Moscow,NA
Lance Storm,5’11”,231,Canadian Maple Leaf,"Calgary, Alberta, Canada",Intercontinental Champion; World Tag Team Champion; WCW Cruiserweight Champion; WCW United States Champion; WCW Hardcore Champion; ECW Tag Team Champion
Larry Zbyszko,5’9”,233,shoulder breaker,Pittsburgh,World Tag Team Champion; AWA World Champion; WCW Tag Team Champion; WCW Television Champion; NWA Western States Heritage Champion; 2015 WWE Hall of Fame Inductee
Lars Sullivan,6’3”,330,Freak Accident,Rocky Mountains,NA
Lash Legend,"6'0""",NA,NA,NA,NA
Layla,NA,NA,Lay-out neckbreaker,Miami,"Winner of the 2006 $250,000 Diva Search; Women's Champion; Divas Champion"
Leon Ruff,5'7,NA,NA,"Pensacola, Fla.",NXT North American Champion
Lex Luger,6’6”,275,Torture Rack,Chicago,United States Champion; WCW World Champion; WCW World Tag Team Champion; WCW World Television Champion
Lilian Garcia,NA,NA,NA,NA,Monday Night Raw ring announcer; SmackDown ring announcer
Lince Dorado,5’7”,170,NA,"San Juan, Puerto Rico",NA
Lio Rush,5’6”,160,Final Hour,"Washington, D.C.",NXT Cruiserweight Champion
Lita,5’6”,NA,Moonsault; Litacanrana,"Sanford, N.C.",Women's Champion; 2014 WWE Hall of Fame Inductee
Liv Morgan,5’3”,NA,NA,"Elmwood Park, N.J.",SmackDown Women's Champion; 2022 Women's Money in the Bank Ladder Match winner
Logan Paul,NA,NA,NA,"Westlake, Ohio",NA
Lord Alfred Hayes,5’9”,238,NA,"Windermere, England",2018 WWE Hall of Fame Legacy Inductee
Lou Thesz,6’2”,225,The Thesz Press ,St. Louis,NWA Champion; AWA Champion; WWE Hall of Fame Class of 2016 Inductee
Ludwig Kaiser,6’3”,220,NA,"Hamburg, Germany",2x NXT Tag Team Champion
Luke Gallows,6’8”,290,Magic Killer,"By way of Tokyo, Japan",Raw Tag Team Champion; WWE Tag Team World Cup Winner
Luke Harper,6’5”,275,Discus clothesline,NA,SmackDown Tag Team Champion; Intercontinental Champion; NXT Tag Team Champion
Luna Vachon,5’6”,NA,Luna Eclipse,Montreal,"Second-generation member of the legendary Vachon Family, held several regional ladies' championships, managed Bam Bam Bigelow, Goldust and Shawn Michaels among others; 2019 WWE Hall of Fame Legacy Inductee"
Luther Lindsay,6’4”,235,Airplane Spin,"Norfolk, Va.",NA
ma.çé,"6'8""",NA,NA,NA,NA
Madcap Moss,6’3”,245,NA,Minneapolis,24/7 Champion
Mae Young,NA,NA,Bronco Buster; elbow drop,"Sand Springs, Okla.",First-ever NWA United States Women's Champion; competed in the ring in nine different decades; winner of Miss Royal Rumble 2000 Bikini Contest; 2008 WWE Hall of Fame Inductee
Malcolm Bivens,NA,NA,NA,"Harlem, N.Y.",NA
Malik Blade,"6'0""",185,NA,NA,NA
mån.sôör,6’0”,190,NA,"Riyadh, Saudi Arabia",51-Man Battle Royal winner
Mandy Rose,5’4”,NA,Bed of Roses,"Yorktown Heights, N.Y.",NXT Women's Champion
Maria Kanellis,5’7”,NA,NA,Chicago,24/7 Champion
Marina Shafir,5’7”,NA,NA,"Soroca, Moldova",NA
Mark Andrews,5’8”,159,Shooting Star Press,"Cardiff, Wales",NXT UK Tag Team Champion
Mark Coffey,6’2”,235,NA,"Glasgow, Scotland",NXT UK Tag Team Champion
Mark Henry,6’4”,360,World's Strongest Slam,"Silsbee, Texas",World Heavyweight Champion; ECW Champion; European Champion; 2018 WWE Hall of Fame Inductee
Martin “Farmer” Burns,5’7”,176 ,Full Nelson,"Cedar County, Iowa",American Heavyweight Champion
Marty Jannetty,5’11”,234,Rocker Dropper,"Columbus, Ga.",World Tag Team Champion; Intercontinental Champion
Maryse,NA,NA,French Kiss,Montreal,Divas Champion
Mason Ryan,6’5”,289,Sitout Urinage,"Cardiff, Wales",NA
Matt Camp,NA,NA,NA,"Bergenfield, NJ",NA
Matt Hardy,6’2”,236,Twist of Fate,"Cameron, N.C.",United States Champion; Raw Tag Team Champion; SmackDown Tag Team Champion; WWE Tag Team Champion; World Tag Team Champion; European Champion; Hardcore Champion; Cruiserweight Champion; ECW Champion; WCW Tag Team Champion; 2018 Andre the Giant Memorial Battle Royal winner
Matt Riddle,6’2”,216,"Bromission, Final Flash",Las Vegas,"Raw Tag Team Champion, United States Champion; 2020 Dusty Rhodes Tag Team Classic winner; NXT Tag Team Champion"
Matt Striker,5’10”,224,NA,"Bayside, N.Y.",NA
"Maurice ""Mad Dog"" Vachon",5’7”,231,Piledriver,Montreal,AWA World Heavyweight Champion; AWA World Tag Team Championship; 2010 WWE Hall of Fame Inductee
Mauro Ranallo,NA,NA,NA,"Abbotsford, British Columbia, Canada",NA
Max Dupri,NA,NA,NA,NA,Million Dollar Champion
Max Moon,5’10”,240,Spinning Flying Body Press,Outer Space,NA
Maxine,5’4”,NA,NA,"Tampa, Fla.",NA
Maxxine Dupri,NA,NA,NA,NA,NA
McKenzie Mitchell,NA,NA,NA,"Dexter, MO",NA
Mean Street Posse,NA,782,NA,"Greenwich, Conn.",Hardcore Champion
Megan Morant,NA,NA,NA,"Chicago, Ill.",NA
Meiko Satomura,NA,NA,Scorpio Rising; Death Valley Driver,"Niigata, Japan",NXT UK Women's Champion
Melina,NA,NA,California Dream; Extreme Makeover; Last Call,Los Angeles,Women's Champion; Divas Champion
Mercedes Martinez,NA,NA,NA,"Waterbury, Conn.",NA
Mia Yim,5’7”,NA,Protect Ya Neck,"Fontana, Calif.",NA
Michael Cole,NA,NA,NA,"Amenia, N.Y.","Raw announcer; SmackDown announcer, pay-per-view announcer and multiple-time Slammy Award winner"
Michelle McCool,5’10”,NA,Faith Breaker,"Palatka, Fla.",Divas Champion; Women's Champion; winner of the 2008 SmackDown Top Diva Competition; finalist in the 2004 WWE Diva Search
Mick Foley,6’2”,287,Mandible Claw; Double Arm DDT,"Long Island, N.Y.",WWE Champion; World Tag Team Champion; Hardcore Champion; WWE Commissioner; SmackDown commentator; 2013 WWE Hall of Fame Inductee; Raw General Manager
Mickie James,5’4”,NA,Mick Kick; Implant DDT,"Richmond, Va.",Women's Champion; Divas Champion
Mike Kanellis,NA,215,NA,"Boston, Mass.",24/7 Champion
Mike Rome,6’1”,NA,NA,San Diego,24/7 Champion
Mike Tyson,5’10”,NA,NA,"Brooklyn, N.Y.",2012 WWE Hall of Fame Inductee
Mikey,5’6”,229,NA,"Gordon Heights, Brookhaven, N.Y.",World Tag Team Champion
Mil Máscaras,5’11”,245,Plancha,"San Luis Potosi, Mexico",First masked man to compete in Madison Square Garden; 2012 WWE Hall of Fame Inductee
Mildred Burke,5’2”,NA,Alligator Clutch,"Coffeyville, Kansas",NWA Women's Champion; 2016 WWE Hall of Fame Legacy Inductee
Miss Elizabeth,NA,NA,NA,"Louisville, Ky.",NA
Missing Link,6’2”,250,Diving Headbutt,Parts Unknown,NA
Mojo Rawley,6’4”,265,Hyperdrive,"Alexandria, Va.",24/7 Champion; 2017 Andre the Giant Memorial Battle Royal winner
Molly Holly,5’4”,NA,Molly-Go-Round,"Forest Lake, Minn.","Women's Champion, Hardcore Champion; 2021 WWE Hall of Fame Inductee"
Montez Ford,6’1”,232,NA,Chicago,SmackDown Tag Team Champion; Raw Tag Team Champion; NXT Tag Team Champion
Mr. Fuji,5’10”,270,Cobra Hold,"Osaka, Japan",World Tag Team Champion; 2007 WWE Hall of Fame Inductee
Mr. McMahon,NA,NA,NA,"Greenwich, Conn.",Chairman and CEO of WWE; WWE Champion; ECW Champion; Royal Rumble winner (1999)
"""Mr. Perfect"" Curt Hennig",6’3”,257,Perfect-Plex,"Robbinsdale, Minn.",AWA World Champion; Intercontinental Champion; United States Champion; WCW Tag Team Champion; AWA World Tag Team Champion; 2007 WWE Hall of Fame Inductee
Mr. Stone,NA,NA,NA,NA,NA
Mr. T,5’10”,236,NA,Chicago,Headlined the inaugural WrestleMania; 2014 WWE Hall of Fame Inductee
Murphy,5’11”,225,Murphy's Law,"Melbourne, Australia",Raw Tag Team Champion; WWE Cruiserweight Champion; NXT Tag Team Champion
Mustafa Ali,5’10”,182,054,Chicago,NA
MVP,6’3”,259,Playmaker; Play of the Day; Ballin' Elbow,Miami,United States Champion; WWE Tag Team Champion
Naomi,5’5”,NA,F.T.G. (Feel the Glow),"Orlando, Fla.","SmackDown Women’s Champion; WWE Women's Tag Team Champios, First-ever WrestleMania Women’s Battle Royal winner "
Natalya,5'5'',NA,Sharpshooter,"Calgary, Alberta, Canada",SmackDown Women's Champion; Divas Champion; WWE Women's Tag Team Champion
Nathan Frazer,NA,182,NA,NA,NA
Neville,5’8”,194,Red Arrow; Rings of Saturn,"Newcastle upon Tyne, England",WWE Cruiserweight Champion; NXT Champion; NXT Tag Team Champion
Nia Jax,6’0”,NA,Legdrop; Samoan Drop,San Diego,Raw Women's Champion; WWE Women's Tag Team Champion
Nick Bockwinkel,5’10”,240,Piledriver; Sleeper Hold,"St. Paul, Minn.",AWA World Champion; AWA World Tag Team Champion; Commissioner of WCW; 2007 WWE Hall of Fame Inductee
Nigel McGuinness,6’1”,NA,NA,London,NA
Nikki A.S.H.,5’0”,NA,NA,"Glasgow, Scotland",Raw Women's Champion; WWE Women's Tag Team Champion; 2021 Money in the Bank Ladder Match winner; 24/7 Championship
Nikki Bella,5’6”,NA,Rack Attack 2.0,"San Diego, Calif.",Divas Champion; 2015 Diva of the Year 2013 Diva of the Year
Nikkita Lyons,NA,NA,NA,NA,NA
Nikolai Volkoff,6’4”,313,The Russian Backbreaker; Bear Hug,The Soviet Union,World Tag Team Champion; 2005 WWE Hall of Fame Inductee
Nina Samuels,5’7”,NA,Prima Donna,"Hampshire, England",NA
No Way Jose,6’3”,245,NA,"Santo Domingo, Dominican Republic",NA
Noam Dar,5’9”,178,Kneebar,"Ayr, Scotland",NXT UK Heritage Cup Champion
Odyssey Jones,NA,NA,NA,NA,NA
Omos,"7'3""",403,NA,NA,Raw Tag Team Champion
Oney Lorcan,6’1”,190,NA,Boston,NXT Tag Team Champion
Oro Mensah,NA,NA,NA,NA,NXT UK Tag Team Champion
Otis,5’10”,330,Compactor,"Superior, Wis.",2020 Men's Money in the Bank Ladder Match winner; Raw Tag Team Championship
Ozzy Osbourne,NA,NA,NA,NA,2021 WWE Hall of Fame Inductee
Paige,5’8”,NA,Paige-Turner; Ram-Paige; PTO (Paige Tapout),"Norwich, England",SmackDown General Manager; Divas Champion; NXT Women's Champion
Papa Shango,6’6”,330,Shoulder Breaker,Parts Unknown,NA
Pat McAfee,6'1,NA,NA,"Plum, Pa.",NA
Pat O'Connor,6’0”,230,NA,"Wanganui, New Zealand",NWA World Champion; AWA World Champion; 2016 WWE Hall of Fame Legacy Inductee
Pat Patterson,6’1”,237,Atomic Drop; Sleeper Hold,Montreal,First-ever Intercontinental Champion; Hardcore Champion; WWE North American Champion; AWA World Tag Team Champion; 24/7 Champion; 1996 WWE Hall of Fame Inductee
Paul Bearer,5’10”,NA,NA,NA,Managed The Undertaker and Kane; 2014 WWE Hall of Fame Inductee
Paul Ellering,NA,NA,NA,"Grey Eagle, Minn.",2011 WWE Hall of Fame Inductee
Paul Heyman,NA,NA,NA,"Scarsdale, N.Y.",Owner of ECW; SmackDown General Manager; Raw color commentator; adviser to Brock Lesnar
Paul Orndorff,6’0”,252,Piledriver,"Brandon, Fla.",WCW Television Champion; WCW World Tag Team Champion; NWA World Tag Team Champion; member of the University of Tampa Football Hall of Fame; 2005 WWE Hall of Fame Inductee
Pedro Morales,5’10”,235,Boston Crab,"Culebra Island, Puerto Rico","WWE Champion; Intercontinental Champion; World Tag Team Champion; first ""Triple Crown"" winner in WWE history; 1995 WWE Hall of Fame Inductee"
